power_of_2;time_traversing_list;time_per_node;
5;2.16961e-07;6.78003e-09;
6;4.76837e-07;7.45058e-09;
7;9.34601e-07;7.30157e-09;
8;1.84059e-06;7.18981e-09;
9;3.68118e-06;7.18981e-09;
10;7.36237e-06;7.18981e-09;
11;1.47247e-05;7.18981e-09;
12;2.92969e-05;7.15256e-09;
13;5.88989e-05;7.18981e-09;
14;0.000117798;7.18981e-09;
15;0.000234375;7.15256e-09;
16;0.000471191;7.18981e-09;
17;0.000942383;7.18981e-09;
18;0.001875;7.15256e-09;
19;0.00376953;7.18981e-09;
20;0.00753906;7.18981e-09;
21;0.0150781;7.18981e-09;
22;0.0301562;7.18981e-09;
23;0.0603125;7.18981e-09;
24;0.120625;7.18981e-09;
25;0.24125;7.18981e-09;
26;0.4825;7.18981e-09;
27;0.965;7.18981e-09;
28;1.93;7.18981e-09;
